data from https://data.oecd.org/interest/long-term-interest-rates.htm#indicator-chart,,,,,,,
LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,STINT,TOT,PC_PA,M,1964-06,3.86,
USA,STINT,TOT,PC_PA,M,1964-07,3.87,
USA,STINT,TOT,PC_PA,M,1964-08,3.85,
USA,STINT,TOT,PC_PA,M,1964-09,3.87,
USA,STINT,TOT,PC_PA,M,1964-10,3.94,
USA,STINT,TOT,PC_PA,M,1964-11,3.99,
USA,STINT,TOT,PC_PA,M,1964-12,4.14,
USA,STINT,TOT,PC_PA,M,1965-01,4.13,
USA,STINT,TOT,PC_PA,M,1965-02,4.19,
USA,STINT,TOT,PC_PA,M,1965-03,4.27,
USA,STINT,TOT,PC_PA,M,1965-04,4.28,
USA,STINT,TOT,PC_PA,M,1965-05,4.32,
USA,STINT,TOT,PC_PA,M,1965-06,4.31,
USA,STINT,TOT,PC_PA,M,1965-07,4.29,
USA,STINT,TOT,PC_PA,M,1965-08,4.3,
USA,STINT,TOT,PC_PA,M,1965-09,4.34,
USA,STINT,TOT,PC_PA,M,1965-10,4.46,
USA,STINT,TOT,PC_PA,M,1965-11,4.49,
USA,STINT,TOT,PC_PA,M,1965-12,4.75,
USA,STINT,TOT,PC_PA,M,1966-01,4.95,
USA,STINT,TOT,PC_PA,M,1966-02,5.05,
USA,STINT,TOT,PC_PA,M,1966-03,5.19,
USA,STINT,TOT,PC_PA,M,1966-04,5.26,
USA,STINT,TOT,PC_PA,M,1966-05,5.38,
USA,STINT,TOT,PC_PA,M,1966-06,5.5,
USA,STINT,TOT,PC_PA,M,1966-07,5.62,
USA,STINT,TOT,PC_PA,M,1966-08,5.72,
USA,STINT,TOT,PC_PA,M,1966-09,5.86,
USA,STINT,TOT,PC_PA,M,1966-10,5.83,
USA,STINT,TOT,PC_PA,M,1966-11,5.79,
USA,STINT,TOT,PC_PA,M,1966-12,5.65,
USA,STINT,TOT,PC_PA,M,1967-01,5.4,
USA,STINT,TOT,PC_PA,M,1967-02,5.18,
USA,STINT,TOT,PC_PA,M,1967-03,5.01,
USA,STINT,TOT,PC_PA,M,1967-04,4.43,
USA,STINT,TOT,PC_PA,M,1967-05,4.49,
USA,STINT,TOT,PC_PA,M,1967-06,4.66,
USA,STINT,TOT,PC_PA,M,1967-07,5,
USA,STINT,TOT,PC_PA,M,1967-08,4.93,
USA,STINT,TOT,PC_PA,M,1967-09,4.91,
USA,STINT,TOT,PC_PA,M,1967-10,5.22,
USA,STINT,TOT,PC_PA,M,1967-11,5.4,
USA,STINT,TOT,PC_PA,M,1967-12,5.62,
USA,STINT,TOT,PC_PA,M,1968-01,5.48,
USA,STINT,TOT,PC_PA,M,1968-02,5.33,
USA,STINT,TOT,PC_PA,M,1968-03,5.58,
USA,STINT,TOT,PC_PA,M,1968-04,5.78,
USA,STINT,TOT,PC_PA,M,1968-05,6.14,
USA,STINT,TOT,PC_PA,M,1968-06,6.12,
USA,STINT,TOT,PC_PA,M,1968-07,6.03,
USA,STINT,TOT,PC_PA,M,1968-08,5.85,
USA,STINT,TOT,PC_PA,M,1968-09,5.78,
USA,STINT,TOT,PC_PA,M,1968-10,5.9,
USA,STINT,TOT,PC_PA,M,1968-11,6.05,
USA,STINT,TOT,PC_PA,M,1968-12,6.27,
USA,STINT,TOT,PC_PA,M,1969-01,6.5,
USA,STINT,TOT,PC_PA,M,1969-02,6.52,
USA,STINT,TOT,PC_PA,M,1969-03,6.65,
USA,STINT,TOT,PC_PA,M,1969-04,6.84,
USA,STINT,TOT,PC_PA,M,1969-05,7.28,
USA,STINT,TOT,PC_PA,M,1969-06,8.01,
USA,STINT,TOT,PC_PA,M,1969-07,8.69,
USA,STINT,TOT,PC_PA,M,1969-08,8.38,
USA,STINT,TOT,PC_PA,M,1969-09,8.47,
USA,STINT,TOT,PC_PA,M,1969-10,8.56,
USA,STINT,TOT,PC_PA,M,1969-11,8.46,
USA,STINT,TOT,PC_PA,M,1969-12,8.77,
USA,STINT,TOT,PC_PA,M,1970-01,8.91,
USA,STINT,TOT,PC_PA,M,1970-02,8.58,
USA,STINT,TOT,PC_PA,M,1970-03,8.08,
USA,STINT,TOT,PC_PA,M,1970-04,7.51,
USA,STINT,TOT,PC_PA,M,1970-05,8.08,
USA,STINT,TOT,PC_PA,M,1970-06,8.07,
USA,STINT,TOT,PC_PA,M,1970-07,8.01,
USA,STINT,TOT,PC_PA,M,1970-08,7.72,
USA,STINT,TOT,PC_PA,M,1970-09,7.3,
USA,STINT,TOT,PC_PA,M,1970-10,6.76,
USA,STINT,TOT,PC_PA,M,1970-11,6.08,
USA,STINT,TOT,PC_PA,M,1970-12,5.67,
USA,STINT,TOT,PC_PA,M,1971-01,5.09,
USA,STINT,TOT,PC_PA,M,1971-02,4.38,
USA,STINT,TOT,PC_PA,M,1971-03,3.85,
USA,STINT,TOT,PC_PA,M,1971-04,4.45,
USA,STINT,TOT,PC_PA,M,1971-05,4.98,
USA,STINT,TOT,PC_PA,M,1971-06,5.4,
USA,STINT,TOT,PC_PA,M,1971-07,5.75,
USA,STINT,TOT,PC_PA,M,1971-08,5.74,
USA,STINT,TOT,PC_PA,M,1971-09,5.63,
USA,STINT,TOT,PC_PA,M,1971-10,5.27,
USA,STINT,TOT,PC_PA,M,1971-11,4.87,
USA,STINT,TOT,PC_PA,M,1971-12,4.65,
USA,STINT,TOT,PC_PA,M,1972-01,3.95,
USA,STINT,TOT,PC_PA,M,1972-02,3.61,
USA,STINT,TOT,PC_PA,M,1972-03,4.08,
USA,STINT,TOT,PC_PA,M,1972-04,4.6,
USA,STINT,TOT,PC_PA,M,1972-05,4.41,
USA,STINT,TOT,PC_PA,M,1972-06,4.64,
USA,STINT,TOT,PC_PA,M,1972-07,4.82,
USA,STINT,TOT,PC_PA,M,1972-08,4.85,
USA,STINT,TOT,PC_PA,M,1972-09,5.13,
USA,STINT,TOT,PC_PA,M,1972-10,5.25,
USA,STINT,TOT,PC_PA,M,1972-11,5.22,
